left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F014,F031,0.40830188679245283,0.0,0.36754716981132074,0.12943396226415094,0.5615094339622642,28,29,59,57,2,1.0
F014,F032,0.3615094339622642,0.0,0.18830188679245285,0.07509433962264156,0.09433962264150947,28,30,59,59,0,0.9830508474576272
F014,F033,0.6799999999999999,0.6409164160020439,0.3852830188679245,0.3007547169811321,0.34641509433962264,28,31,59,59,0,1.0
F014,F034,0.5864150943396227,0.5599331968964188,0.28113207547169816,0.07509433962264156,0.13622641509433964,28,37,66,66,0,0.9848484848484849
F014,F035,0.45547169811320753,0.0,0.24716981132075466,0.07509433962264156,0.27433962264150946,28,21,52,50,2,0.98
F014,F036,0.4777358490566038,0.0,0.7030188679245283,0.659622641509434,0.4420754716981132,28,42,71,70,1,1.0
F014,F037,0.060754716981132106,0.0,0.024150943396226365,0.0022641509433962703,0.34641509433962264,28,28,56,56,0,1.0
F014,F038,0.22754716981132073,0.0,0.2332075471698113,0.12943396226415094,0.34641509433962264,28,31,59,59,0,1.0
F014,F039,0.28943396226415097,0.0,0.4996226415094339,0.459622641509434,0.4420754716981132,28,34,63,62,1,1.0
F014,F040,0.08490566037735847,0.0,0.04377358490566041,0.012830188679245236,0.4420754716981132,28,27,56,55,1,1.0
F014,F041,0.1588679245283019,0.0,0.16000000000000003,0.0252830188679245,0.27433962264150946,28,21,52,50,2,0.98
F014,F042,0.060754716981132106,0.0,0.0184905660377358,0.007547169811320753,0.5615094339622642,28,26,56,54,2,1.0
F014,F043,0.1452830188679245,0.0,0.11433962264150943,0.0252830188679245,0.09433962264150947,28,30,59,59,0,0.9830508474576272
F014,F044,0.11735849056603775,0.0,0.08490566037735847,0.12943396226415094,0.4420754716981132,28,34,63,62,1,1.0
F014,F045,0.18830188679245285,0.0,0.22679245283018867,0.053584905660377324,0.34641509433962264,28,35,63,63,0,1.0
F014,F046,0.36905660377358496,0.0,0.5509433962264151,0.5279245283018867,0.7460377358490566,28,20,52,48,4,1.0
F014,F047,0.3615094339622642,0.0,0.3886792452830189,0.16150943396226414,0.4420754716981132,28,23,52,51,1,1.0
F014,F048,0.2584905660377359,0.0,0.28943396226415097,0.053584905660377324,0.34641509433962264,28,32,60,60,0,1.0
F014,F049,0.3290566037735849,0.0,0.40981132075471693,0.16150943396226414,0.21283018867924525,28,33,63,62,1,0.9838709677419355
F014,F050,0.03471698113207544,0.0,0.0022641509433962703,0.03698113207547171,0.4420754716981132,28,27,56,55,1,1.0
F014,F051,0.19886792452830193,0.0,0.17622641509433967,0.053584905660377324,0.21283018867924525,28,33,63,62,1,0.9838709677419355
F014,F052,0.2841509433962264,0.0,0.2671698113207547,0.053584905660377324,0.4420754716981132,28,27,56,55,1,1.0
F015,F016,0.8833962264150943,0.7058224433035845,0.8573584905660377,0.659622641509434,0.7460377358490566,23,25,52,48,4,1.0
F015,F017,0.860754716981132,0.854905755095559,0.4732075471698113,0.659622641509434,0.5615094339622642,23,27,52,50,2,1.0
F015,F018,0.9109433962264151,0.7843564518281836,0.9909433962264151,0.8784905660377358,0.5615094339622642,23,37,62,60,2,1.0
F015,F019,0.7392452830188679,0.6409164160020439,0.9584905660377359,0.8784905660377358,0.4420754716981132,23,44,68,67,1,1.0
F015,F020,0.8094339622641509,0.7058224433035845,0.6626415094339623,0.659622641509434,0.5615094339622642,23,46,71,69,2,1.0
F015,F021,0.5347169811320756,0.0,0.8573584905660377,0.6003773584905661,0.4420754716981132,23,51,75,74,1,1.0
F015,F022,0.790566037735849,0.7058224433035845,0.9550943396226415,0.8784905660377358,0.5615094339622642,23,46,71,69,2,1.0
F015,F023,0.37283018867924533,0.0,0.3852830188679245,0.3007547169811321,0.7460377358490566,23,25,52,48,4,1.0
F015,F024,0.6373584905660377,0.16018035160321933,0.9286792452830188,0.6003773584905661,0.6722641509433962,23,29,55,52,3,1.0
F015,F025,0.5388679245283019,0.0,0.8166037735849057,0.659622641509434,0.27433962264150946,23,26,52,50,2,0.98
F015,F026,0.8535849056603774,0.7058224433035845,0.9724528301886792,0.8784905660377358,0.6722641509433962,23,33,59,56,3,1.0
F015,F027,0.6486792452830188,0.16018035160321933,0.8573584905660377,0.6003773584905661,0.09433962264150947,23,35,59,59,0,0.9830508474576272
F015,F028,0.949811320754717,0.7043643178278647,0.6890566037735849,0.5279245283018867,0.4420754716981132,23,28,52,51,1,1.0
F015,F029,0.5932075471698113,0.16018035160321933,0.9116981132075471,0.659622641509434,0.4420754716981132,23,24,48,47,1,1.0
F015,F030,0.9369811320754717,0.9292451888601003,0.5860377358490566,0.659622641509434,0.27433962264150946,23,26,52,50,2,0.98
F015,F031,0.40830188679245283,0.0,0.6762264150943396,0.3007547169811321,0.6722641509433962,23,29,55,52,3,1.0
F015,F032,0.37283018867924533,0.0,0.3026415094339623,0.3007547169811321,0.16943396226415092,23,30,55,54,1,0.9814814814814815
F015,F033,0.7218867924528302,0.6409164160020439,0.7415094339622641,0.7766037735849056,0.4420754716981132,23,31,55,54,1,1.0
F015,F034,0.6147169811320754,0.5599331968964188,0.5181132075471698,0.3007547169811321,0.5615094339622642,23,37,62,60,2,1.0
F015,F035,0.4716981132075472,0.0,0.4479245283018868,0.3007547169811321,0.7460377358490566,23,21,48,44,4,1.0
F015,F036,0.4716981132075472,0.0,0.8377358490566038,0.659622641509434,0.23188679245283017,23,42,67,66,1,0.9848484848484849
F015,F037,0.05660377358490565,0.0,0.05433962264150949,0.08754716981132071,0.4420754716981132,23,28,52,51,1,1.0
