left,right,consensus
F008,F011,0.6878741591535094
F008,F012,0.32148366584147414
F008,F013,0.8586958855927248
F008,F014,0.3922384769813739
F008,F015,0.3922384769813739
F008,F016,0.242949657316875
F008,F017,0.32148366584147414
F008,F018,0.32148366584147414
F008,F019,0.242949657316875
F008,F020,0.242949657316875
F008,F021,0.0
F008,F022,0.242949657316875
F008,F023,0.0
F008,F024,0.080983219105625
F008,F025,0.0
F008,F026,0.242949657316875
F008,F027,0.080983219105625
F008,F028,0.6878741591535094
F008,F029,0.080983219105625
F008,F030,0.32148366584147414
F008,F031,0.0
F008,F032,0.0
F008,F033,0.242949657316875
F008,F034,0.242949657316875
F008,F035,0.0
F008,F036,0.0
F008,F037,0.0
F008,F038,0.0
F008,F039,0.0
F008,F040,0.0
F008,F041,0.0
F008,F042,0.0
F008,F043,0.0
F008,F044,0.0
F008,F045,0.0
F008,F046,0.0
F008,F047,0.0
F008,F048,0.0
F008,F049,0.0
F008,F050,0.0
F008,F051,0.0
F008,F052,0.0
F009,F010,0.546570044746234
F009,F011,0.9294506967326246
F009,F012,0.5592700729234237
F009,F013,0.546570044746234
F009,F014,0.7749136210952401
F009,F015,0.7749136210952401
F009,F016,0.4807360643988245
F009,F017,0.6298193761907991
F009,F018,0.5592700729234237
F009,F019,0.4807360643988245
F009,F020,0.4807360643988245
F009,F021,0.0
F009,F022,0.4807360643988245
F009,F023,0.0
F009,F024,0.080983219105625
F009,F025,0.0
F009,F026,0.4807360643988245
F009,F027,0.080983219105625
F009,F028,0.9294506967326246
F009,F029,0.080983219105625
F009,F030,0.7041588099553404
F009,F031,0.0
F009,F032,0.0
F009,F033,0.4807360643988245
F009,F034,0.4807360643988245
F009,F035,0.0
F009,F036,0.0
F009,F037,0.0
F009,F038,0.0
F009,F039,0.0
F009,F040,0.0
F009,F041,0.0
F009,F042,0.0
F009,F043,0.0
F009,F044,0.0
F009,F045,0.0
F009,F046,0.0
F009,F047,0.0
F009,F048,0.0
F009,F049,0.0
F009,F050,0.0
F009,F051,0.0
F009,F052,0.0
F010,F011,0.6171193480136096
F010,F012,0.32148366584147414
F010,F013,0.9294506967326246
F010,F014,0.32148366584147414
F010,F015,0.32148366584147414
